17  18. Hafta            Paderborn  |     Bayer Leverkusen  |  1 - 4


    19. Hafta             Sıralama  |              Fixture ||  Sonuç
0   19. Hafta           RB Leipzig  |    Borussia Dortmund  |  5 - 1
1   19. Hafta       Bayern München  |             Freiburg  |  0 - 2
2   19. Hafta      Mönchengladbach  |            Wolfsburg  |  1 - 2
3   19. Hafta    Borussia Dortmund  |  Eintracht Frankfurt  |  2 - 0
4   19. Hafta     Bayer Leverkusen  |      Mönchengladbach  |  3 - 1
5   19. Hafta              Schalke  |         Union Berlin  |  2 - 0
6   19. Hafta           Hoffenheim  |       Bayern München  |  5 - 0
7   19. Hafta             Freiburg  |        Werder Bremen  |  0 - 3
8   19. Hafta  Eintracht Frankfurt  |     Bayer Leverkusen  |  3 - 0
9   19. Hafta            Wolfsburg  |                 Köln  |  5 - 1
10  19. Hafta         Union Berlin  |            Paderborn  |  0 - 2
11  19. Hafta             Augsburg  |        Hertha Berlin  |  1 - 2
12  19. Hafta        Hertha Berlin  |           RB Leipzig  |  2 - 0
13  19. Hafta                 Köln  |             Mainz 05  |  3 - 1
14  19. Hafta                Mainz  |             Augsburg  |  2 - 0
15  19. Hafta        Werder Bremen  |           Schalke 04  |  5 - 0
16  19. Hafta            Paderborn  |           Hoffenheim  |  0 - 3
17  19. Hafta   Fortuna Düsseldorf  |   Fortuna Düsseldorf  |  3 - 0


    20. Hafta             Sıralama  |              Fixture ||  Sonuç
0   20. Hafta       Bayern München  |        Hertha Berlin  |  0 - 0
1   20. Hafta           RB Leipzig  |    Borussia Dortmund  |  5 - 0
2   20. Hafta    Borussia Dortmund  |             Augsburg  |  2 - 1
3   20. Hafta      Mönchengladbach  |           Hoffenheim  |  2 - 1
4   20. Hafta     Bayer Leverkusen  |             Mainz 05  |  1 - 3
5   20. Hafta              Schalke  |   Fortuna Düsseldorf  |  1 - 1
6   20. Hafta           Hoffenheim  |           RB Leipzig  |  2 - 2
7   20. Hafta             Freiburg  |                 Köln  |  4 - 0
8   20. Hafta            Wolfsburg  |            Paderborn  |  2 - 4
9   20. Hafta             Augsburg  |           Schalke 04  |  0 - 0
10  20. Hafta  Eintracht Frankfurt  |         Union Berlin  |  5 - 0
11  20. Hafta         Union Berlin  |        Werder Bremen  |  2 - 1
12  20. Hafta        Hertha Berlin  |     Bayer Leverkusen  |  2 - 1
13  20. Hafta                 Köln  |       Bayern München  |  1 - 3
14  20. Hafta                Mainz  |  Eintracht Frankfurt  |  1 - 1
15  20. Hafta        Werder Bremen  |      Mönchengladbach  |  2 - 2
16  20. Hafta   Fortuna Düsseldorf  |             Freiburg  |  4 - 0
17  20. Hafta            Paderborn  |            Wolfsburg  |  2 - 4


    21. Hafta             Sıralama  |              Fixture ||  Sonuç
0   21. Hafta       Bayern München  |  Eintracht Frankfurt  |  5 - 0
1   21. Hafta           RB Leipzig  |             Freiburg  |  1 - 0
2   21. Hafta      Mönchengladbach  |            Wolfsburg  |  1 - 1
3   21. Hafta    Borussia Dortmund  |        Hertha Berlin  |  1 - 3
4   21. Hafta     Bayer Leverkusen  |        Werder Bremen  |  0 - 2
5   21. Hafta              Schalke  |           Schalke 04  |  1 - 1
6   21. Hafta           Hoffenheim  |     Bayer Leverkusen  |  4 - 3
7   21. Hafta             Freiburg  |       Bayern München  |  0 - 0
8   21. Hafta  Eintracht Frankfurt  |      Mönchengladbach  |  2 - 1
9   21. Hafta            Wolfsburg  |             Augsburg  |  5 - 0
10  21. Hafta         Union Berlin  |           Hoffenheim  |  1 - 0
11  21. Hafta             Augsburg  |   Fortuna Düsseldorf  |  1 - 1
12  21. Hafta                 Köln  |             Mainz 05  |  1 - 3
13  21. Hafta        Hertha Berlin  |         Union Berlin  |  0 - 2
14  21. Hafta                Mainz  |            Paderborn  |  1 - 1
15  21. Hafta   Fortuna Düsseldorf  |    Borussia Dortmund  |  4 - 3
16  21. Hafta        Werder Bremen  |           RB Leipzig  |  0 - 0
